hb,cancer_site,sex,year,incidences_all_ages,hb_name
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2001,23,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2002,28,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2003,38,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2004,33,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2005,31,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2006,33,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2007,52,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2008,55,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2009,46,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2010,48,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2011,54,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2012,53,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2013,47,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2014,41,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2015,34,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2016,42,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2017,46,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2018,44,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2019,40,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2020,42,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,2021,22,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,1997,0,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,1998,0,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,1999,0,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2000,6,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2001,10,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2002,10,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2003,16,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2004,10,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2005,13,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2006,16,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2007,19,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2008,19,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2009,18,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2010,16,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2011,16,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2012,23,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2013,19,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2014,15,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2015,12,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2016,17,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2017,20,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2018,20,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2019,18,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2020,16,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Male,2021,4,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Females,1997,0,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Females,1998,0,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Females,1999,0,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Females,2000,17,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Females,2001,13,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Females,2002,18,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Females,2003,22,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Females,2004,23,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Females,2005,18,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Females,2006,17,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Females,2007,33,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Females,2008,36,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Females,2009,28,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Females,2010,32,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Females,2011,38,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Females,2012,30,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Females,2013,28,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Females,2014,26,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Females,2015,22,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Females,2016,25,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Females,2017,26,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Females,2018,24,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Females,2019,22,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Females,2020,26,Fife
S08000029,"Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",Females,2021,18,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),All,1997,0,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),All,1998,0,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),All,1999,0,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),All,2000,45,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),All,2001,46,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),All,2002,63,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),All,2003,67,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),All,2004,58,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),All,2005,51,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),All,2006,70,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),All,2007,82,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),All,2008,87,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),All,2009,79,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),All,2010,75,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),All,2011,92,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),All,2012,92,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),All,2013,74,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),All,2014,78,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),All,2015,57,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),All,2016,74,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),All,2017,72,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),All,2018,87,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),All,2019,62,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),All,2020,70,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),All,2021,48,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Male,1997,0,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Male,1998,0,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Male,1999,0,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Male,2000,21,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Male,2001,22,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Male,2002,35,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Male,2003,29,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Male,2004,25,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Male,2005,23,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Male,2006,38,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Male,2007,36,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Male,2008,41,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Male,2009,37,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Male,2010,30,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Male,2011,38,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Male,2012,41,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Male,2013,36,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Male,2014,36,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Male,2015,28,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Male,2016,37,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Male,2017,37,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Male,2018,47,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Male,2019,36,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Male,2020,33,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Male,2021,18,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Females,1997,0,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Females,1998,0,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Females,1999,0,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Females,2000,24,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Females,2001,24,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Females,2002,28,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Females,2003,38,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Females,2004,33,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Females,2005,28,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Females,2006,32,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Females,2007,46,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Females,2008,46,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Females,2009,42,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Females,2010,45,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Females,2011,54,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Females,2012,51,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Females,2013,38,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Females,2014,42,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Females,2015,29,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Females,2016,37,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Females,2017,35,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Females,2018,40,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Females,2019,26,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Females,2020,37,Fife
S08000029,All brain and CNS tumours (malignant and non-malignant),Females,2021,30,Fife
S08000029,Breast,All,1997,287,Fife
S08000029,Breast,All,1998,200,Fife
S08000029,Breast,All,1999,216,Fife
S08000029,Breast,All,2000,330,Fife
S08000029,Breast,All,2001,196,Fife
S08000029,Breast,All,2002,228,Fife
S08000029,Breast,All,2003,349,Fife
S08000029,Breast,All,2004,251,Fife
S08000029,Breast,All,2005,244,Fife
S08000029,Breast,All,2006,441,Fife
S08000029,Breast,All,2007,244,Fife
S08000029,Breast,All,2008,238,Fife
S08000029,Breast,All,2009,344,Fife
S08000029,Breast,All,2010,313,Fife
S08000029,Breast,All,2011,322,Fife
S08000029,Breast,All,2012,333,Fife
S08000029,Breast,All,2013,330,Fife
S08000029,Breast,All,2014,308,Fife
S08000029,Breast,All,2015,335,Fife
S08000029,Breast,All,2016,357,Fife
S08000029,Breast,All,2017,299,Fife
S08000029,Breast,All,2018,390,Fife
S08000029,Breast,All,2019,358,Fife
S08000029,Breast,All,2020,296,Fife
S08000029,Breast,All,2021,352,Fife
S08000029,Breast,Male,1997,1,Fife
S08000029,Breast,Male,1998,1,Fife
S08000029,Breast,Male,1999,1,Fife
S08000029,Breast,Male,2000,0,Fife
S08000029,Breast,Male,2001,1,Fife
S08000029,Breast,Male,2002,1,Fife
S08000029,Breast,Male,2003,2,Fife
S08000029,Breast,Male,2004,3,Fife
S08000029,Breast,Male,2005,1,Fife
S08000029,Breast,Male,2006,1,Fife
S08000029,Breast,Male,2007,0,Fife
S08000029,Breast,Male,2008,1,Fife
S08000029,Breast,Male,2009,2,Fife
S08000029,Breast,Male,2010,4,Fife
S08000029,Breast,Male,2011,3,Fife
S08000029,Breast,Male,2012,5,Fife
S08000029,Breast,Male,2013,1,Fife
S08000029,Breast,Male,2014,2,Fife
S08000029,Breast,Male,2015,1,Fife
S08000029,Breast,Male,2016,0,Fife
S08000029,Breast,Male,2017,3,Fife
S08000029,Breast,Male,2018,3,Fife
S08000029,Breast,Male,2019,4,Fife
S08000029,Breast,Male,2020,1,Fife
S08000029,Breast,Male,2021,4,Fife
S08000029,Breast,Females,1997,286,Fife
S08000029,Breast,Females,1998,199,Fife
S08000029,Breast,Females,1999,215,Fife
S08000029,Breast,Females,2000,330,Fife
S08000029,Breast,Females,2001,195,Fife
S08000029,Breast,Females,2002,227,Fife
S08000029,Breast,Females,2003,347,Fife
S08000029,Breast,Females,2004,248,Fife
S08000029,Breast,Females,2005,243,Fife
S08000029,Breast,Females,2006,440,Fife
S08000029,Breast,Females,2007,244,Fife
S08000029,Breast,Females,2008,237,Fife
S08000029,Breast,Females,2009,342,Fife
S08000029,Breast,Females,2010,309,Fife
S08000029,Breast,Females,2011,319,Fife
S08000029,Breast,Females,2012,328,Fife
S08000029,Breast,Females,2013,329,Fife
S08000029,Breast,Females,2014,306,Fife
S08000029,Breast,Females,2015,334,Fife
S08000029,Breast,Females,2016,357,Fife
S08000029,Breast,Females,2017,296,Fife
S08000029,Breast,Females,2018,387,Fife
S08000029,Breast,Females,2019,354,Fife
S08000029,Breast,Females,2020,295,Fife
S08000029,Breast,Females,2021,348,Fife
S08000029,Carcinoma in situ of the breast,All,1997,23,Fife
S08000029,Carcinoma in situ of the breast,All,1998,6,Fife
S08000029,Carcinoma in situ of the breast,All,1999,14,Fife
S08000029,Carcinoma in situ of the breast,All,2000,39,Fife
S08000029,Carcinoma in situ of the breast,All,2001,10,Fife
S08000029,Carcinoma in situ of the breast,All,2002,16,Fife
S08000029,Carcinoma in situ of the breast,All,2003,58,Fife
S08000029,Carcinoma in situ of the breast,All,2004,19,Fife
S08000029,Carcinoma in situ of the breast,All,2005,6,Fife
S08000029,Carcinoma in situ of the breast,All,2006,76,Fife
S08000029,Carcinoma in situ of the breast,All,2007,30,Fife
S08000029,Carcinoma in situ of the breast,All,2008,29,Fife
S08000029,Carcinoma in situ of the breast,All,2009,55,Fife
S08000029,Carcinoma in situ of the breast,All,2010,33,Fife
S08000029,Carcinoma in situ of the breast,All,2011,32,Fife
S08000029,Carcinoma in situ of the breast,All,2012,38,Fife
S08000029,Carcinoma in situ of the breast,All,2013,26,Fife
S08000029,Carcinoma in situ of the breast,All,2014,28,Fife
S08000029,Carcinoma in situ of the breast,All,2015,37,Fife
S08000029,Carcinoma in situ of the breast,All,2016,57,Fife
S08000029,Carcinoma in situ of the breast,All,2017,31,Fife
S08000029,Carcinoma in situ of the breast,All,2018,22,Fife
S08000029,Carcinoma in situ of the breast,All,2019,45,Fife
S08000029,Carcinoma in situ of the breast,All,2020,25,Fife
S08000029,Carcinoma in situ of the breast,All,2021,29,Fife
S08000029,Carcinoma in situ of the breast,Male,1997,0,Fife
S08000029,Carcinoma in situ of the breast,Male,1998,0,Fife
S08000029,Carcinoma in situ of the breast,Male,1999,0,Fife
S08000029,Carcinoma in situ of the breast,Male,2000,0,Fife
S08000029,Carcinoma in situ of the breast,Male,2001,0,Fife
S08000029,Carcinoma in situ of the breast,Male,2002,1,Fife
S08000029,Carcinoma in situ of the breast,Male,2003,0,Fife
S08000029,Carcinoma in situ of the breast,Male,2004,0,Fife
S08000029,Carcinoma in situ of the breast,Male,2005,0,Fife
S08000029,Carcinoma in situ of the breast,Male,2006,0,Fife
S08000029,Carcinoma in situ of the breast,Male,2007,2,Fife
S08000029,Carcinoma in situ of the breast,Male,2008,0,Fife
S08000029,Carcinoma in situ of the breast,Male,2009,0,Fife
S08000029,Carcinoma in situ of the breast,Male,2010,0,Fife
S08000029,Carcinoma in situ of the breast,Male,2011,0,Fife
S08000029,Carcinoma in situ of the breast,Male,2012,0,Fife
S08000029,Carcinoma in situ of the breast,Male,2013,0,Fife
S08000029,Carcinoma in situ of the breast,Male,2014,0,Fife
S08000029,Carcinoma in situ of the breast,Male,2015,1,Fife
S08000029,Carcinoma in situ of the breast,Male,2016,0,Fife
S08000029,Carcinoma in situ of the breast,Male,2017,0,Fife
S08000029,Carcinoma in situ of the breast,Male,2018,0,Fife
S08000029,Carcinoma in situ of the breast,Male,2019,0,Fife
S08000029,Carcinoma in situ of the breast,Male,2020,0,Fife
S08000029,Carcinoma in situ of the breast,Male,2021,0,Fife
S08000029,Carcinoma in situ of the breast,Females,1997,23,Fife
S08000029,Carcinoma in situ of the breast,Females,1998,6,Fife
S08000029,Carcinoma in situ of the breast,Females,1999,14,Fife
S08000029,Carcinoma in situ of the breast,Females,2000,39,Fife
S08000029,Carcinoma in situ of the breast,Females,2001,10,Fife
S08000029,Carcinoma in situ of the breast,Females,2002,15,Fife
S08000029,Carcinoma in situ of the breast,Females,2003,58,Fife
S08000029,Carcinoma in situ of the breast,Females,2004,19,Fife
S08000029,Carcinoma in situ of the breast,Females,2005,6,Fife
S08000029,Carcinoma in situ of the breast,Females,2006,76,Fife
S08000029,Carcinoma in situ of the breast,Females,2007,28,Fife
S08000029,Carcinoma in situ of the breast,Females,2008,29,Fife
S08000029,Carcinoma in situ of the breast,Females,2009,55,Fife
S08000029,Carcinoma in situ of the breast,Females,2010,33,Fife
S08000029,Carcinoma in situ of the breast,Females,2011,32,Fife
S08000029,Carcinoma in situ of the breast,Females,2012,38,Fife
S08000029,Carcinoma in situ of the breast,Females,2013,26,Fife
S08000029,Carcinoma in situ of the breast,Females,2014,28,Fife
S08000029,Carcinoma in situ of the breast,Females,2015,36,Fife
S08000029,Carcinoma in situ of the breast,Females,2016,57,Fife
S08000029,Carcinoma in situ of the breast,Females,2017,31,Fife
S08000029,Carcinoma in situ of the breast,Females,2018,22,Fife
S08000029,Carcinoma in situ of the breast,Females,2019,45,Fife
S08000029,Carcinoma in situ of the breast,Females,2020,25,Fife
S08000029,Carcinoma in situ of the breast,Females,2021,29,Fife
S08000029,Colorectal cancer,All,1997,221,Fife
S08000029,Colorectal cancer,All,1998,222,Fife
S08000029,Colorectal cancer,All,1999,237,Fife
S08000029,Colorectal cancer,All,2000,281,Fife
S08000029,Colorectal cancer,All,2001,279,Fife
S08000029,Colorectal cancer,All,2002,212,Fife
S08000029,Colorectal cancer,All,2003,237,Fife
S08000029,Colorectal cancer,All,2004,252,Fife
S08000029,Colorectal cancer,All,2005,231,Fife
S08000029,Colorectal cancer,All,2006,231,Fife
S08000029,Colorectal cancer,All,2007,250,Fife
S08000029,Colorectal cancer,All,2008,239,Fife
S08000029,Colorectal cancer,All,2009,260,Fife
S08000029,Colorectal cancer,All,2010,287,Fife
S08000029,Colorectal cancer,All,2011,242,Fife
S08000029,Colorectal cancer,All,2012,270,Fife
S08000029,Colorectal cancer,All,2013,264,Fife
S08000029,Colorectal cancer,All,2014,281,Fife
S08000029,Colorectal cancer,All,2015,231,Fife
S08000029,Colorectal cancer,All,2016,262,Fife
S08000029,Colorectal cancer,All,2017,240,Fife
S08000029,Colorectal cancer,All,2018,303,Fife
S08000029,Colorectal cancer,All,2019,312,Fife
S08000029,Colorectal cancer,All,2020,234,Fife
S08000029,Colorectal cancer,All,2021,274,Fife
S08000029,Colorectal cancer,Male,1997,110,Fife
S08000029,Colorectal cancer,Male,1998,120,Fife
S08000029,Colorectal cancer,Male,1999,126,Fife
S08000029,Colorectal cancer,Male,2000,157,Fife
S08000029,Colorectal cancer,Male,2001,151,Fife
S08000029,Colorectal cancer,Male,2002,104,Fife
S08000029,Colorectal cancer,Male,2003,144,Fife
S08000029,Colorectal cancer,Male,2004,137,Fife
S08000029,Colorectal cancer,Male,2005,122,Fife
S08000029,Colorectal cancer,Male,2006,123,Fife
S08000029,Colorectal cancer,Male,2007,139,Fife
S08000029,Colorectal cancer,Male,2008,126,Fife
S08000029,Colorectal cancer,Male,2009,133,Fife
S08000029,Colorectal cancer,Male,2010,156,Fife
S08000029,Colorectal cancer,Male,2011,150,Fife
S08000029,Colorectal cancer,Male,2012,149,Fife
S08000029,Colorectal cancer,Male,2013,134,Fife
S08000029,Colorectal cancer,Male,2014,155,Fife
S08000029,Colorectal cancer,Male,2015,127,Fife
S08000029,Colorectal cancer,Male,2016,146,Fife
S08000029,Colorectal cancer,Male,2017,141,Fife
S08000029,Colorectal cancer,Male,2018,155,Fife
S08000029,Colorectal cancer,Male,2019,159,Fife
S08000029,Colorectal cancer,Male,2020,139,Fife
S08000029,Colorectal cancer,Male,2021,148,Fife
S08000029,Colorectal cancer,Females,1997,111,Fife
S08000029,Colorectal cancer,Females,1998,102,Fife
S08000029,Colorectal cancer,Females,1999,111,Fife
S08000029,Colorectal cancer,Females,2000,124,Fife
S08000029,Colorectal cancer,Females,2001,128,Fife
S08000029,Colorectal cancer,Females,2002,108,Fife
S08000029,Colorectal cancer,Females,2003,93,Fife
S08000029,Colorectal cancer,Females,2004,115,Fife
S08000029,Colorectal cancer,Females,2005,109,Fife
S08000029,Colorectal cancer,Females,2006,108,Fife
S08000029,Colorectal cancer,Females,2007,111,Fife
S08000029,Colorectal cancer,Females,2008,113,Fife
S08000029,Colorectal cancer,Females,2009,127,Fife
S08000029,Colorectal cancer,Females,2010,131,Fife
S08000029,Colorectal cancer,Females,2011,92,Fife
S08000029,Colorectal cancer,Females,2012,121,Fife
S08000029,Colorectal cancer,Females,2013,130,Fife
S08000029,Colorectal cancer,Females,2014,126,Fife
S08000029,Colorectal cancer,Females,2015,104,Fife
S08000029,Colorectal cancer,Females,2016,116,Fife
S08000029,Colorectal cancer,Females,2017,99,Fife
S08000029,Colorectal cancer,Females,2018,148,Fife
S08000029,Colorectal cancer,Females,2019,153,Fife
S08000029,Colorectal cancer,Females,2020,95,Fife
S08000029,Colorectal cancer,Females,2021,126,Fife
S08000029,Colon,All,1997,140,Fife
S08000029,Colon,All,1998,133,Fife
S08000029,Colon,All,1999,158,Fife
S08000029,Colon,All,2000,187,Fife
S08000029,Colon,All,2001,191,Fife
S08000029,Colon,All,2002,140,Fife
S08000029,Colon,All,2003,155,Fife
S08000029,Colon,All,2004,165,Fife
S08000029,Colon,All,2005,147,Fife
S08000029,Colon,All,2006,162,Fife
S08000029,Colon,All,2007,151,Fife
S08000029,Colon,All,2008,161,Fife
S08000029,Colon,All,2009,178,Fife
S08000029,Colon,All,2010,178,Fife
S08000029,Colon,All,2011,151,Fife
S08000029,Colon,All,2012,186,Fife
S08000029,Colon,All,2013,181,Fife
S08000029,Colon,All,2014,190,Fife
S08000029,Colon,All,2015,171,Fife
S08000029,Colon,All,2016,184,Fife
S08000029,Colon,All,2017,167,Fife
S08000029,Colon,All,2018,216,Fife
S08000029,Colon,All,2019,226,Fife
S08000029,Colon,All,2020,161,Fife
S08000029,Colon,All,2021,201,Fife
S08000029,Colon,Male,1997,61,Fife
S08000029,Colon,Male,1998,60,Fife
S08000029,Colon,Male,1999,78,Fife
S08000029,Colon,Male,2000,92,Fife
S08000029,Colon,Male,2001,95,Fife
S08000029,Colon,Male,2002,62,Fife
S08000029,Colon,Male,2003,91,Fife
S08000029,Colon,Male,2004,85,Fife
S08000029,Colon,Male,2005,80,Fife
S08000029,Colon,Male,2006,84,Fife
S08000029,Colon,Male,2007,76,Fife
S08000029,Colon,Male,2008,81,Fife
S08000029,Colon,Male,2009,87,Fife
S08000029,Colon,Male,2010,89,Fife
S08000029,Colon,Male,2011,94,Fife
S08000029,Colon,Male,2012,96,Fife
S08000029,Colon,Male,2013,85,Fife
S08000029,Colon,Male,2014,97,Fife
S08000029,Colon,Male,2015,90,Fife
S08000029,Colon,Male,2016,98,Fife
S08000029,Colon,Male,2017,93,Fife
S08000029,Colon,Male,2018,110,Fife
S08000029,Colon,Male,2019,107,Fife
S08000029,Colon,Male,2020,92,Fife
S08000029,Colon,Male,2021,104,Fife
S08000029,Colon,Females,1997,79,Fife
S08000029,Colon,Females,1998,73,Fife
S08000029,Colon,Females,1999,80,Fife
S08000029,Colon,Females,2000,95,Fife
S08000029,Colon,Females,2001,96,Fife
S08000029,Colon,Females,2002,78,Fife
S08000029,Colon,Females,2003,64,Fife
S08000029,Colon,Females,2004,80,Fife
S08000029,Colon,Females,2005,67,Fife
S08000029,Colon,Females,2006,78,Fife
S08000029,Colon,Females,2007,75,Fife
S08000029,Colon,Females,2008,80,Fife
S08000029,Colon,Females,2009,91,Fife
S08000029,Colon,Females,2010,89,Fife
S08000029,Colon,Females,2011,57,Fife
S08000029,Colon,Females,2012,90,Fife
S08000029,Colon,Females,2013,96,Fife
S08000029,Colon,Females,2014,93,Fife
S08000029,Colon,Females,2015,81,Fife
S08000029,Colon,Females,2016,86,Fife
S08000029,Colon,Females,2017,74,Fife
S08000029,Colon,Females,2018,106,Fife
S08000029,Colon,Females,2019,119,Fife
S08000029,Colon,Females,2020,69,Fife
S08000029,Colon,Females,2021,97,Fife
S08000029,Rectum and rectosigmoid junction,All,1997,81,Fife
S08000029,Rectum and rectosigmoid junction,All,1998,89,Fife
S08000029,Rectum and rectosigmoid junction,All,1999,79,Fife
S08000029,Rectum and rectosigmoid junction,All,2000,94,Fife
S08000029,Rectum and rectosigmoid junction,All,2001,88,Fife
S08000029,Rectum and rectosigmoid junction,All,2002,72,Fife
S08000029,Rectum and rectosigmoid junction,All,2003,82,Fife
S08000029,Rectum and rectosigmoid junction,All,2004,87,Fife
S08000029,Rectum and rectosigmoid junction,All,2005,84,Fife
